date,1. open,2. high,3. low,4. close,5. volume
2020-06-03 14:39:00,172.8211,172.92,172.3502,172.65,214064.0
2020-06-03 14:38:00,172.39,173.0,172.35,172.8595,298480.0
2020-06-03 14:37:00,172.01,172.4799,172.0,172.3793,214488.0
2020-06-03 14:36:00,171.87,172.0,171.7001,171.99,206805.0
2020-06-03 14:35:00,171.44,171.9022,171.44,171.895,190818.0
2020-06-03 14:34:00,171.235,171.58,171.0,171.44,142100.0
2020-06-03 14:33:00,171.27,171.3899,170.99,171.235,141487.0
2020-06-03 14:32:00,171.355,171.39,171.1,171.2592,104223.0
2020-06-03 14:31:00,171.56,171.56,171.11,171.33,125230.0
2020-06-03 14:30:00,171.22,171.6399,171.2028,171.525,130361.0
2020-06-03 14:29:00,171.38,171.45,171.0,171.22,155060.0
2020-06-03 14:28:00,171.1489,171.56,171.07,171.3809,217621.0
2020-06-03 14:27:00,170.79,171.18,170.78,171.136,152818.0
2020-06-03 14:26:00,170.685,170.88,170.4,170.79,111177.0
2020-06-03 14:25:00,170.45,170.92,170.38,170.714,0.0
2020-06-03 14:24:00,170.365,170.75,170.365,170.4658,132045.0
2020-06-03 14:23:00,170.19,170.44,170.12,170.38,106600.0
2020-06-03 14:22:00,170.4925,170.56,169.91,170.2114,183734.0
2020-06-03 14:21:00,170.88,170.905,170.31,170.5188,185330.0
2020-06-03 14:20:00,170.7729,171.19,170.7103,170.86,235431.0
2020-06-03 14:19:00,170.56,171.0,170.54,170.7758,208050.0
2020-06-03 14:18:00,170.21,170.6,170.1,170.5654,191703.0
2020-06-03 14:17:00,169.87,170.45,169.83,170.24,290742.0
2020-06-03 14:16:00,169.7661,169.97,169.7561,169.9009,143846.0
2020-06-03 14:15:00,169.4091,169.79,169.3901,169.79,127877.0
2020-06-03 14:14:00,169.4,169.42,169.24,169.42,49767.0
2020-06-03 14:13:00,169.24,169.4,169.11,169.37,77037.0
2020-06-03 14:12:00,169.3551,169.45,169.22,169.2417,91456.0
2020-06-03 14:11:00,169.37,169.415,169.21,169.375,66922.0
2020-06-03 14:10:00,169.375,169.5,169.31,169.3799,79358.0
2020-06-03 14:09:00,169.095,169.5,169.08,169.3899,134514.0
2020-06-03 14:08:00,168.97,169.35,168.97,169.14,70987.0
2020-06-03 14:07:00,169.14,169.14,168.88,169.02,73456.0
2020-06-03 14:06:00,169.19,169.193,168.92,169.125,89894.0
2020-06-03 14:05:00,169.43,169.45,169.06,169.214,91579.0
2020-06-03 14:04:00,169.345,169.43,169.1291,169.39,95686.0
2020-06-03 14:03:00,169.345,169.4,169.02,169.3483,131366.0
2020-06-03 14:02:00,169.2199,169.39,169.1501,169.36,135984.0
2020-06-03 14:01:00,168.9045,169.2037,168.78,169.195,191040.0
2020-06-03 14:00:00,168.43,168.98,168.41,168.9055,136400.0
2020-06-03 13:59:00,168.3458,168.4299,168.24,168.3928,40559.0
2020-06-03 13:58:00,168.3323,168.48,168.25,168.37,36866.0
2020-06-03 13:57:00,168.39,168.5,168.3,168.3178,39632.0
2020-06-03 13:56:00,168.4525,168.5,168.19,168.3894,34986.0
2020-06-03 13:55:00,168.43,168.49,168.34,168.46,44184.0
2020-06-03 13:54:00,168.3185,168.5,168.22,168.43,40193.0
2020-06-03 13:53:00,168.1147,168.415,167.9,168.3164,75566.0
2020-06-03 13:52:00,168.3,168.41,168.07,168.118,73418.0
2020-06-03 13:51:00,168.6194,168.6499,168.24,168.2666,120101.0
2020-06-03 13:50:00,168.6,168.7,168.45,168.63,105187.0
2020-06-03 13:49:00,168.325,168.6,168.3101,168.6,88523.0
2020-06-03 13:48:00,167.8995,168.35,167.84,168.335,103360.0
2020-06-03 13:47:00,167.7358,167.9,167.6846,167.89,30265.0
2020-06-03 13:46:00,167.76,167.89,167.56,167.76,43710.0
2020-06-03 13:45:00,167.71,167.91,167.61,167.8,53096.0
2020-06-03 13:44:00,167.7901,168.0,167.71,167.71,47208.0
2020-06-03 13:43:00,167.9519,168.0592,167.78,167.79,66646.0
2020-06-03 13:42:00,167.6601,167.9631,167.64,167.96,57557.0
2020-06-03 13:41:00,167.33,167.72,167.24,167.68,85869.0
2020-06-03 13:40:00,167.64,167.66,167.31,167.33,40092.0
2020-06-03 13:39:00,167.69,167.69,167.51,167.66,29699.0
2020-06-03 13:38:00,167.5674,167.7998,167.5,167.68,50279.0
2020-06-03 13:37:00,167.9015,168.04,167.52,167.56,80567.0
2020-06-03 13:36:00,167.7456,167.9,167.64,167.88,60273.0
2020-06-03 13:35:00,167.55,167.75,167.52,167.74,60935.0
2020-06-03 13:34:00,167.4606,167.76,167.3102,167.5453,91768.0
2020-06-03 13:33:00,167.3099,167.52,167.26,167.444,57050.0
2020-06-03 13:32:00,167.08,167.4287,167.06,167.264,79435.0
2020-06-03 13:31:00,167.57,167.6599,166.8001,167.0188,160360.0
2020-06-03 13:30:00,167.5475,167.6,167.12,167.5368,114913.0
2020-06-03 13:29:00,167.565,167.6894,167.43,167.57,107024.0
2020-06-03 13:28:00,168.23,168.23,167.56,167.57,163006.0
2020-06-03 13:27:00,168.58,168.62,168.12,168.17,82754.0
2020-06-03 13:26:00,168.3,168.64,168.3,168.59,108777.0
2020-06-03 13:25:00,168.09,168.3,168.09,168.3,66027.0
2020-06-03 13:24:00,168.1516,168.17,167.93,168.1,56323.0
2020-06-03 13:23:00,168.07,168.22,168.0,168.16,55089.0
2020-06-03 13:22:00,168.15,168.165,167.93,168.07,41770.0
2020-06-03 13:21:00,168.15,168.2,167.9,168.1447,53497.0
2020-06-03 13:20:00,168.0801,168.2286,168.067,168.1999,55849.0
2020-06-03 13:19:00,167.98,168.2598,167.92,168.1304,104719.0
2020-06-03 13:18:00,168.0856,168.1503,167.77,167.93,104253.0
2020-06-03 13:17:00,168.325,168.325,168.06,168.0801,69420.0
2020-06-03 13:16:00,168.1501,168.38,168.13,168.3262,114763.0
2020-06-03 13:15:00,168.01,168.1771,167.8,168.1771,80504.0
2020-06-03 13:14:00,167.785,168.125,167.77,168.03,132570.0
2020-06-03 13:13:00,167.941,167.95,167.66,167.78,64155.0
2020-06-03 13:12:00,167.7799,168.0,167.72,167.99,86142.0
2020-06-03 13:11:00,167.65,167.7651,167.45,167.7651,54346.0
2020-06-03 13:10:00,167.4538,167.8206,167.43,167.65,80580.0
2020-06-03 13:09:00,167.3108,167.61,167.3108,167.4301,60111.0
2020-06-03 13:08:00,167.1438,167.37,167.1002,167.34,48428.0
2020-06-03 13:07:00,167.4356,167.5,167.085,167.13,77652.0
2020-06-03 13:06:00,167.161,167.47,167.12,167.4401,77885.0
2020-06-03 13:05:00,166.8861,167.2,166.88,167.18,51039.0
2020-06-03 13:04:00,166.7301,166.93,166.73,166.8917,36482.0
2020-06-03 13:03:00,166.92,167.14,166.7,166.8048,64340.0
2020-06-03 13:02:00,167.1701,167.22,166.92,166.96,61759.0
2020-06-03 13:01:00,166.7161,167.29,166.6602,167.2199,83376.0
2020-06-03 13:00:00,166.76,166.91,166.71,166.71,56493.0
2020-06-03 12:59:00,166.7,166.87,166.65,166.7499,64164.0
2020-06-03 12:58:00,166.8,167.1,166.71,166.71,78537.0
2020-06-03 12:57:00,166.89,166.9,166.71,166.82,50422.0
2020-06-03 12:56:00,166.7401,166.9281,166.7401,166.91,77412.0
2020-06-03 12:55:00,166.54,166.78,166.45,166.77,50747.0
2020-06-03 12:54:00,166.56,166.66,166.29,166.59,118466.0
2020-06-03 12:53:00,166.67,166.87,166.57,166.5702,74583.0
2020-06-03 12:52:00,166.88,166.94,166.5838,166.7034,197399.0
2020-06-03 12:51:00,166.136,166.5206,166.1,166.515,159388.0
2020-06-03 12:50:00,166.2,166.23,166.0887,166.15,40361.0
2020-06-03 12:49:00,166.11,166.36,166.05,166.1599,64838.0
2020-06-03 12:48:00,166.3301,166.5625,166.01,166.0603,84800.0
2020-06-03 12:47:00,166.87,166.895,166.3,166.38,94996.0
2020-06-03 12:46:00,166.8583,167.04,166.78,166.8925,66572.0
